id	name	region	coordinates	time_period_start	time_period_end	time_period_label	predecessor_culture_ids	successor_culture_ids	description	confidence	sources	wikidata_qid	source_url	retrieved_at
poltavka-culture	Poltavka culture						["yamnaya-culture"]	["srubnaya-culture"]	Archaeological culture recorded in Wikidata.	80	["Wikidata"]	Q1757895	http://www.wikidata.org/entity/Q1757895	2026-07-08T10:47:54.206Z
pomeranian-culture	Pomeranian culture						["lusatian-culture"]	["przeworsk-culture"]	Archaeological culture recorded in Wikidata.	80	["Wikidata"]	Q972472	http://www.wikidata.org/entity/Q972472	2026-07-08T10:47:54.206Z
prague-culture	Prague culture								Archaeological culture recorded in Wikidata.	80	["Wikidata"]	Q2995116	http://www.wikidata.org/entity/Q2995116	2026-07-08T10:47:54.206Z
proto-villanovan-culture	Proto-Villanovan culture			-1199	-900	1199 BCE–900 BCE		["villanovan-culture","culture","este-culture"]	Archaeological culture recorded in Wikidata.	80	["Wikidata"]	Q2588933	http://www.wikidata.org/entity/Q2588933	2026-07-08T10:47:54.206Z
przeworsk-culture	Przeworsk culture								Archaeological culture recorded in Wikidata.	80	["Wikidata"]	Q1423912	http://www.wikidata.org/entity/Q1423912	2026-07-08T10:47:54.206Z
qijia-culture	Qijia culture						["majiayao-culture"]		Archaeological culture recorded in Wikidata.	80	["Wikidata"]	Q1269223	http://www.wikidata.org/entity/Q1269223	2026-07-08T10:47:54.206Z
quimbaya-civilization	Quimbaya civilization								Archaeological culture recorded in Wikidata.	80	["Wikidata"]	Q958351	http://www.wikidata.org/entity/Q958351	2026-07-08T10:47:54.206Z
qujialing-culture	Qujialing culture						["daxi-culture"]	["shijiahe-culture"]	Archaeological culture recorded in Wikidata.	80	["Wikidata"]	Q1153210	http://www.wikidata.org/entity/Q1153210	2026-07-08T10:47:54.206Z
rossen-culture	Rössen culture							["funnelbeaker-culture"]	Archaeological culture recorded in Wikidata.	80	["Wikidata"]	Q1886212	http://www.wikidata.org/entity/Q1886212	2026-07-08T10:47:54.206Z
rzucewo-culture	Rzucewo culture								Archaeological culture recorded in Wikidata.	80	["Wikidata"]	Q4181995	http://www.wikidata.org/entity/Q4181995	2026-07-08T10:47:54.206Z
sa-huynh-culture	Sa Huỳnh culture								Archaeological culture recorded in Wikidata.	80	["Wikidata"]	Q2000186	http://www.wikidata.org/entity/Q2000186	2026-07-08T10:47:54.206Z
saladoid	Saladoid								Archaeological culture recorded in Wikidata.	80	["Wikidata"]	Q4405634	http://www.wikidata.org/entity/Q4405634	2026-07-08T10:47:54.206Z
saltovo-mayaki	Saltovo-Mayaki						["penkovka-culture"]		Archaeological culture recorded in Wikidata.	80	["Wikidata"]	Q1987770	http://www.wikidata.org/entity/Q1987770	2026-07-08T10:47:54.206Z
samara-culture	Samara culture							["khvalynsk-culture"]	Archaeological culture recorded in Wikidata.	80	["Wikidata"]	Q80641	http://www.wikidata.org/entity/Q80641	2026-07-08T10:47:54.206Z
samarra-culture	Samarra culture							["ubaid-period"]	Archaeological culture recorded in Wikidata.	80	["Wikidata"]	Q1502858	http://www.wikidata.org/entity/Q1502858	2026-07-08T10:47:54.206Z
san-agustan-culture	San Agustan culture		{"lat":1.9,"lng":-76.283333333}						Archaeological culture recorded in Wikidata.	80	["Wikidata"]	Q1932509	http://www.wikidata.org/entity/Q1932509	2026-07-08T10:47:54.206Z
